p;11879;6.190848446946008%
the;10683;5.567542213883677%
and;6039;3.1472795497185744%
of;3656;1.9053575151136128%
to;3499;1.823535543047738%
I;2939;1.5316864707108608%
he;2894;1.508234313112362%
a;2746;1.4311027725661871%
said;2643;1.3774233896185115%
it;2570;1.3393787784031685%
was;2282;1.1892849697727745%
in;2281;1.1887638107150302%
that;2019;1.0522201375859912%
emphasis;1890;0.9849906191369606%
is;1809;0.9427767354596623%
his;1767;0.9208880550343965%
you;1624;0.846362309776944%
not;1581;0.8239524702939337%
with;1370;0.7139879091098603%
him;1270;0.661872003335418%
had;1266;0.6597873671044403%
have;1106;0.5764019178653326%
as;1098;0.5722326454033771%
on;1094;0.5701480091723994%
Jordan;1047;0.5456535334584115%
He;1038;0.5409631019387117%
Robert;1025;0.5341880341880342%
at;1021;0.5321033979570564%
for;923;0.481029810298103%
be;869;0.4528872211799041%
there;850;0.4429851990827601%
all;816;0.4252657911194497%
But;804;0.4190118824265166%
they;804;0.4190118824265166%
one;792;0.41275797373358347%
now;770;0.4012924744632062%
them;766;0.39920783823222844%
will;761;0.39660204294350637%
It;745;0.3882634980195956%
her;740;0.38565770273087346%
from;736;0.38357306649989575%
up;709;0.36950177194079636%
this;701;0.36533249947884094%
are;699;0.36429018136335206%
Pablo;697;0.36324786324786323%
do;691;0.3601209089013967%
were;680;0.35438815926620804%
me;675;0.3517823639774859%
The;637;0.33197831978319786%
would;616;0.32103397957056495%
we;597;0.3111319574734209%
You;596;0.31061079841567646%
s;554;0.2887221179904107%
she;548;0.2855951636439441%
Pilar;521;0.2715238690848447%
man;511;0.26631227850740047%
could;501;0.2611006879299562%
out;493;0.25693141546800086%
no;491;0.255889097352512%
thee;462;0.24077548467792373%
And;461;0.2402543256201793%
then;461;0.2402543256201793%
but;454;0.23660621221596834%
like;427;0.22253491765686886%
down;420;0.2188868042526579%
what;416;0.21680216802168023%
over;415;0.2162810089639358%
very;414;0.2157598499061914%
head;411;0.21419637273295808%
when;409;0.21315405461746925%
t;408;0.21263289555972484%
Then;383;0.19960391911611422%
who;381;0.1985616010006254%
been;372;0.1938711694809256%
looked;372;0.1938711694809256%
thought;366;0.19074421513445905%
That;360;0.18761726078799248%
back;358;0.18657494267250366%
There;357;0.18605378361475924%
see;356;0.1855326245570148%
did;352;0.1834479883260371%
go;350;0.18240567021054827%
if;349;0.18188451115280385%
where;347;0.180842193037315%
know;346;0.18032103397957056%
No;345;0.17979987492182614%
Yes;339;0.1766729205753596%
can;335;0.17458828434438192%
much;329;0.17146132999791538%
Maria;323;0.16833437565144882%
